CustomerID,FullName,Age,Gender,Country,SignupDate,PurchaseAmount,Email,HasEmail
100220,Amara Abara,42,Unknown,Kenya,2020-04-06,132.89,amara.abara113@example.com,True
100959,William Kimani,54,Male,United Kingdom,2021-07-15,60.05,william.kimani732@example.com,True
101432,Richard Brown,36,Female,Canada,2021-12-06,160.63,richard.brown265@example.com,True
100070,Thomas Mensah,39,Female,United Kingdom,,172.37,thomas.mensah218@example.com,True
100951,Joseph Martinez,62,Male,United Kingdom,2021-03-13,37.47,joseph.martinez761@example.com,True
100965,Michael Davis,73,Unknown,United States,2022-04-03,78.18,,False
101046,Richard Kimani,25,Unknown,United Kingdom,2020-09-14,282.99,richard.kimani476@example.com,True
100262,Kwame Williams,31,Female,Unknown,2024-01-16,74.75,kwame.williams595@example.com,True
101074,Amara Williams,18,Unknown,Kenya,2023-05-04,240.64,amara.williams381@example.com,True
101110,Kwame Okafor,65,Unknown,United States,2024-05-23,68.03,,False
100505,Richard Johnson,67,Male,United States,2021-10-20,174.16,richard.johnson859@example.com,True
100663,Michael Brown,55,Male,Canada,2022-12-05,190.91,michael.brown977@example.com,True
101239,Linda Rodriguez,62,Male,United States,2021-04-30,156.19,,False
100427,Michael Jones,27,Female,United Kingdom,2024-08-18,163.36,michael.jones440@example.com,True
100626,Jessica Johnson,45,Male,United States,2023-02-02,124.49,jessica.johnson646@example.com,True
100123,John Abara,64,Unknown,Kenya,2022-07-22,52.04,john.abara298@example.com,True
100820,Mary Brown,46,Female,Canada,2020-11-02,102.31,mary.brown422@example.com,True
100508,John Miller,49,Female,United Kingdom,2024-10-01,236.02,john.miller130@example.com,True
100710,Michael Brown,45,Female,United Kingdom,,125.37,,False
100371,Wanjiru Kimani,25,Male,Kenya,2024-04-08,305.95,wanjiru.kimani488@example.com,True
101144,Joseph Williams,23,Unknown,Canada,2024-04-22,104.2,joseph.williams240@example.com,True
100722,Thomas Miller,24,Female,Nigeria,2022-12-04,293.41,,False
101234,Barbara Jones,35,Male,Canada,2022-04-27,146.15,,False
100795,David Williams,19,Unknown,United Kingdom,2021-11-14,87.94,davidwilliamsAT example dot com,True
100130,Susan Mensah,31,Female,United Kingdom,2022-03-04,150.68,susan.mensah348@example.com,True
100887,Richard Rodriguez,45,Male,United States,2021-07-26,140.12,richard.rodriguez49@example.com,True
100470,Kwame Rodriguez,36,Male,United States,2023-01-10,225.51,kwame.rodriguez710@example.com,True
100036,Jennifer Miller,31,Male,Canada,2023-04-20,105.59,jennifer.miller798@example.com,True
101499,Sarah Kimani,35,Male,United Kingdom,2024-02-03,140.12,sarah.kimani886@example.com,True
