CustomerID,FullName,Age,Gender,Country,SignupDate,PurchaseAmount,Email
100220,AMARA ABARA,42,nan,KENYA,2020-04-06,132.89,amara.abara113@example.com
100959,  William   Kimani  ,54,MALE,uk,15/07/2021,60.05,william.kimani732@example.com
101432,Richard Brown,36,Female,Canada,12/06/2021,160.63,richard.brown265@example.com
100070,thomas mensah,39 years,Female,United Kingdom,,172.37,thomas.mensah218@example.com
100951,  Joseph   Martinez  ,62,M,United Kingdom,13/03/2021,37.47,joseph.martinez761@example.com
100965,MICHAEL DAVIS,73,nan,us,04/03/2022,78.18,
101046,Richard Kimani,25,nan,uk,2020/09/14,282.99,richard.kimani476@example.com
100262,KWAME WILLIAMS,31,FEMALE,nan,2024/01/16,74.75,kwame.williams595@example.com
101074,Amara Williams,18,nan,kenya,04-May-2023,$240.64,amara.williams381@example.com
101110,Kwame Okafor,65,nan,U.S.A,23/05/2024,68.03,
100505,Richard Johnson,67,male,USA,2021/10/20,174.16,richard.johnson859@example.com
100663,Michael Brown,55,Male,CANADA,05-Dec-2022,190.91,michael.brown977@example.com
101239,linda rodriguez,62,M,USA,2021-04-30,156.19,
100427,  Michael   Jones  ,27,FEMALE,U.K.,08/18/2024,163.36,michael.jones440@example.com
100626,Jessica Johnson,-7,male,us,2023-02-02,$124.49,jessica.johnson646@example.com
100123,  John   Abara  ,64,nan,KENYA,2022/07/22,52.04,john.abara298@example.com
100820,mary brown,46,Female,Canada,2020/11/02,102.31,mary.brown422@example.com
100508,John Miller,49,Female,UK,01-Oct-2024,$236.02,john.miller130@example.com
100710,Michael Brown,-22,female,United Kingdom,,125.37,
100371,Wanjiru Kimani,25,Male,KENYA,2024/04/08,305.95,wanjiru.kimani488@example.com
101144,JOSEPH WILLIAMS,23,nan,CANADA,2024-04-22,104.2,joseph.williams240@example.com
100722,Thomas Miller,24,F,nigeria,2022-12-04,293.41,
101234,Barbara Jones,35 years,Male,canada,2022-04-27,146.15,
100795,David Williams,19,nan,United Kingdom,14-Nov-2021,87.94,davidwilliamsAT example dot com
100130,susan mensah,31,Female,UK,04-Mar-2022,150.68,susan.mensah348@example.com
100887,  Richard   Rodriguez  ,,MALE,USA,26/07/2021,-214.62,richard.rodriguez49@example.com
100470,kwame rodriguez,36,Male,United States,01/10/2023,225.51,kwame.rodriguez710@example.com
100036,Jennifer Miller,31,MALE,canada,20-Apr-2023,$105.59,jennifer.miller798@example.com
101499,Sarah Kimani,35,male,United Kingdom,2024/02/03,-66.3,sarah.kimani886@example.com
100800,Sarah Ndlovu,47,Female,United States,12-Oct-2021,156.46,sarah.ndlovu917@example.com
100272,Robert Brown,53,Female,United States,not available,-136.84,robert.brown280@example.com
100127,Karen Johnson,26,female,CANADA,18/11/2024,214.4,karen.johnson984@example.com
101071,Zola Kimani,40,nan,USA,,183.46,
100369,wanjiru johnson,24,nan,U.K.,23-Jul-2024,174.66,wanjiru.johnson907@example.com
100237,joseph miller,66,FEMALE,nan,2024/06/07,,joseph.miller989@example.com
100791,John Abara,74,nan,CANADA,12/25/2023,105.21,john.abara333@example.com
100512,james martinez,46,male,Kenya,29/11/2020,99.49,james.martinez534@example.com
100892,Jennifer Williams,31,F,uk,2020/05/26,173.4,jennifer.williams355@example.com
101279,Charles Garcia,35,nan,CANADA,09/19/2023,186.07,charles.garcia848@example.com
101322,mary brown,26,nan,U.S.A,01/03/2020,$135.12,mary.brown787@example.com
100798,Barbara Williams,65,Male,United States,,288.12,barbara.williams925@example.com
100972,jennifer garcia,61,nan,CANADA,01/02/2020,116.37,jennifer.garcia780@example.com
101380,Linda Garcia,47,f,kenya,21/02/2022,293.22,linda.garcia170@example.com
100107,Chidi Ndlovu,51 years,Female,CANADA,2021/08/12,238.50,
100289,Robert Garcia,,female,U.K.,01/28/2021,261.44,robert.garcia418@example.com
101209,Joseph Garcia,,female,Kenya,08/27/2024,$20.42,joseph.garcia189@example.com
100002,Robert Smith,73,nan,uk,2023/02/06,92.21,robert.smith881@example.com
100611,  Sarah   Ndlovu  ,28,male,United States,2024/03/05,139.13,sarah.ndlovu404@example.com
100269,David Johnson,73,male,CANADA,28/10/2022,50.77,
100615,ELIZABETH GARCIA,62,Male,CANADA,09/30/2021,$89.39,
101093,  Susan   Ndlovu  ,200,Male,nan,2021-09-07,$164.72,
100456,Joseph Mensah,,f,Canada,25-Jun-2022,63.33,joseph.mensah202@example.com
100201,Michael Brown,44,Female,us,14/08/2021,123.30,michael.brown234@example.com
101160,William Abara,50,Female,Kenya,17/06/2021,-49.63,william.abara431@example.com
100771,Charles Rodriguez,63,nan,us,2021/12/02,,charles.rodriguez921@example.com
100877,  Jessica   Kimani  ,19,Female,nan,2021/06/07,206.76,jessica.kimani968@example.com
100080,Kwame Kimani,38,Male,Kenya,07/03/2022,,
100943,David Mensah,-15,nan,Canada,15-Aug-2022,111.57,davidmensahAT example dot com
100457,Sarah Okafor,50,nan,nigeria,2024/11/05,63.5,sarahokaforAT example dot com
101431,David Okafor,33 years,Female,Canada,19/06/2023,222.11,david.okafor793@example.com
101026,SARAH JONES,74,f,nigeria,24-Oct-2021,187.24,
101057,  Elizabeth   Davis  ,26,Male,USA,11/14/2024,161.99,elizabeth.davis667@example.com
101141,Kwame Smith,71,Female,United States,23/11/2024,141.46,
100725,Elizabeth Davis,41,FEMALE,nan,2020/07/28,,elizabeth.davis816@example.com
101283,  Joseph   Williams  ,24,male,Kenya,05/11/2023,94.88,joseph.williams928@example.com
101243,sarah kimani,63,F,uk,2022-03-18,$207.47,sarah.kimani187@example.com
100998,michael ndlovu,55,Male,Nigeria,,12147.44,michael.ndlovu219@example.com
100353,  Richard   Rodriguez  ,62,Male,United States,06/02/2024,87.3,
100897,John Rodriguez,37,nan,kenya,07/05/2024,146.12,johnrodriguezAT example dot com
100773,Mary Kimani,37,Female,United Kingdom,2022-07-13,,mary.kimani33@example.com
100279,William Kimani,,f,United Kingdom,16/06/2022,139.1,
100767,  Richard   Mensah  ,,nan,CANADA,23-Mar-2023,61.21,richard.mensah408@example.com
100920,Sarah Garcia,,male,nan,2020-03-13,131.84,sarahgarciaAT example dot com
100558,SUSAN KIMANI,44,nan,CANADA,not available,180.93,susan.kimani272@example.com
100293,Michael Mensah,22,nan,Nigeria,2024-04-19,$178.19,michael.mensah218@example.com
101016,Sarah Mensah,19,Male,Kenya,07/28/2021,164.15,sarah.mensah751@example.com
